eidid,eid_name,path_genus,path_species,path_disease,event_location,zoo_origin,zoo_origin_type,path_type,event_date,event_year,event_decade,filename,wildlife_zoonoses
79,HED_79,Francisella,tularensis,Unspecified,"Mayor River, Spain (All crayfish caught were of the red swamp species (P. clarkii). The section of the river authorized for fishing is 14 km, from the town of Huete to the beginning of the Buend<92>a Dam into which the river flows. There are designated hunti",1,3,bacteria,14/07/1998,1998,1990,HED_79.shp,TRUE
80,HED_80,Francisella,tularensis,Unspecified,"Shandong Peninsula, China",1,3,bacteria,1987,1987,1980,HED_80.shp,TRUE
98,HED_98,Leptospira,weilii,Unspecified,Sabah,1,3,bacteria,Aug 21 2000,2000,2000,HED_98.shp,TRUE
108,HED_108,Mycobacterium,simiae,Unspecified,Dakar,1,2,bacteria,1970,1970,1970,HED_108.shp,TRUE
110,HED_110,Mycobacterium,tuberculosis,Tuberculosis,Miami,1,2,bacteria,Jan-81,1981,1980,HED_110.shp,TRUE
130,HED_130,Vibrio,damsela,Unspecified,"Louisiana, USA",1,2,bacteria,Jul-71,1971,1970,HED_130.shp,TRUE
135,HED_135,Vibrio,parahaemolyticus,Unspecified,Maryland,1,2,bacteria,1971,1971,1970,HED_135.shp,TRUE
137,HED_137,Encephalitozoon,cuniculi,Unspecified,"Geneva, Switzerland",1,3,protozoa,nov. 1987,1987,1980,HED_137.shp,TRUE
138,HED_138,Encephalitozoon,hellem,Unspecified,"Texas and NYC(2), USA",1,3,protozoa,1990,1990,1990,HED_138.shp,TRUE
147,HED_147,Unspecified,Unspecified,Unspecified,"La Gamba, R<92>o Claro, in the Brunca Region of Costa Rica",1,3,virus,"Sept. 12, 2001",2001,2000,HED_147.shp,TRUE
148,HED_148,Unspecified,Unspecified,Unspecified,"Reston, VA",1,2,virus,1989,1989,1980,HED_148.shp,TRUE
149,HED_149,Unspecified,Unspecified,Unspecified,Egypt,1,3,virus,1977,1977,1970,HED_149.shp,TRUE
150,HED_150,Unspecified,Unspecified,Unspecified,"Senegal river basin. Nikki rechecked and suggested mapping ""Rosso, Mauritania""",1,3,virus,1987,1987,1980,HED_150.shp,TRUE
151,HED_151,Unspecified,Unspecified,Unspecified,Egypt,1,3,virus,1993,1993,1990,HED_151.shp,TRUE
152,HED_152,Unspecified,Unspecified,Unspecified,"Sao Paulo State, Brazil",1,2,virus,1978,1978,1970,HED_152.shp,TRUE
165,HED_165,Rickettsia,africae,Unspecified,"Harare, Zimbabwe",1,3,rickettsia,Aug-92,1992,1990,HED_165.shp,TRUE
166,HED_166,Rickettsia,africae,Unspecified,Guadeloupe,1,3,rickettsia,Jul-97,1997,1990,HED_166.shp,TRUE
168,HED_168,Rickettsia,akari,Rickettsialpox,"Medical Center of Zadar, Zadar, Croatia",1,2,rickettsia,May-91,1991,1990,HED_168.shp,TRUE
169,HED_169,Rickettsia,felis,California flea typhus,Corpus Christi and Nueces County regions of south Texas,1,3,rickettsia,spring 1991,1991,1990,HED_169.shp,TRUE
170,HED_170,Rickettsia,felis,California flea typhus,"rural eastern Yucatan, Mexico",1,3,rickettsia,2000,2000,2000,HED_170.shp,TRUE
171,HED_171,Rickettsia,helvetica,Unspecified,"Uppsala, Sweden",1,3,rickettsia,Oct. 1997,1997,1990,HED_171.shp,TRUE
172,HED_172,Rickettsia,honei,Thai tick typhus,"Chiang Mai, University Hospital, Chiang Mai, Thailand",1,2,rickettsia,29-Aug-90,1990,1990,HED_172.shp,TRUE
173,HED_173,Rickettsia,honei,Thai tick typhus,Flinders Island (between Australia and Tasmania),1,2,rickettsia,1993,1993,1990,HED_173.shp,TRUE
175,HED_175,Rickettsia,mongolotimonae,Unspecified,Marseille,1,2,rickettsia,1996,1996,1990,HED_175.shp,TRUE
176,HED_176,Rickettsia,prowazekii,"typhus, Brill<d0>Zinsser disease (reactivation of latent infection)","N'Gozi, Burundi",1,2,rickettsia,Dec-95,1995,1990,HED_176.shp,TRUE
177,HED_177,Rickettsia,quintana,Unspecified,"Seattle, USA",1,2,rickettsia,Jan-93,1993,1990,HED_177.shp,TRUE
179,HED_179,Rickettsia,japonica,Japanese spotted fever,"Tokushima Prefecture, on the island of Shikoku in southwestern Japan",1,2,rickettsia,1984,1984,1980,HED_179.shp,TRUE
181,HED_181,Rickettsia,typhi,Murine (endemic) typhus,Texas,1,2,rickettsia,1983,1983,1980,HED_181.shp,TRUE
182,HED_182,Salmonella,enteritidis,Unspecified,"Dunaszentgyorgy, Hungary",1,3,bacteria,1979,1979,1970,HED_182.shp,TRUE
183,HED_183,Salmonella,enteritidis,Unspecified,England/Wales,1,3,bacteria,1985,1985,1980,HED_183.shp,TRUE
198,HED_198,Serratia,odorifera,Unspecified,"Tampa, FL",1,3,bacteria,1987,1987,1980,HED_198.shp,TRUE
213,HED_213,Listeria,monocytogenes,Listeriosis,"Canada (Prince Edward Island, Nova Scotia, New Brunswick)",1,3,bacteria,1979,1979,1970,HED_213.shp,TRUE
216,HED_216,Mycobacterium,asiaticum,Unspecified,"Brisbane, Australia",1,2,bacteria,1971,1971,1970,HED_216.shp,TRUE
221,HED_221,Staphylococcus,lugdunensis,Unspecified,"Lyon, France",1,3,bacteria,Apr-88,1988,1980,HED_221.shp,TRUE
234,HED_234,Yersinia,pestis,Unspecified,"Surat, Gujarat, India",1,2,bacteria,Aug-94,1994,1990,HED_234.shp,TRUE
235,HED_235,Yersinia,pestis,Unspecified,New Mexico,1,2,bacteria,1970,1970,1970,HED_235.shp,TRUE
236,HED_236,Yersinia,pestis,Unspecified,farm in the Graaff-Reinet district of the eastern Cape Province South Africa,1,2,bacteria,"Nov. 11, 1972",1972,1970,HED_236.shp,TRUE
237,HED_237,Yersinia,pestis,Unspecified,"Bolivia, Brazil, Ecuador, Peru. Nikki rechecked and suggested Northern Peru.",1,2,bacteria,1994,1994,1990,HED_237.shp,TRUE
238,HED_238,Yersinia,pestis,Unspecified,"Al-Azzizat, Libya",1,2,bacteria,Feb-76,1976,1970,HED_238.shp,TRUE
239,HED_239,Yersinia,pestis,Unspecified,"Ambalavao district of Madagascar. Nikki rechecked and suggested ""100 km circle around town of ambalavao"". However there are lots of towns called Ambalavao so I left it as it was",1,2,bacteria,1995,1995,1990,HED_239.shp,TRUE
240,HED_240,Yersinia,pestis,Unspecified,Malawi and Mozambique,1,2,bacteria,1994,1994,1990,HED_240.shp,TRUE
241,HED_241,Yersinia,pestis,Unspecified,Ambalavao district of Madagascar,1,2,bacteria,1995,1995,1990,HED_241.shp,TRUE
242,HED_242,Yersinia,pestis,Unspecified,USA (NM area),1,2,bacteria,1990s,1990,1990,HED_242.shp,TRUE
252,HED_252,Coccidioides,immitis,Unspecified,"Kern County, CA",1,3,fungi,1990,1990,1990,HED_252.shp,TRUE
259,HED_259,Histoplasma,capsulatum,Unspecified,Indianapolis,1,3,fungi,1980,1980,1980,HED_259.shp,TRUE
260,HED_260,Histoplasma,capsulatum,Unspecified,"Santa Rosa National Park, Guanacaste Province, Costa Rica",1,3,fungi,1988,1988,1980,HED_260.shp,TRUE
261,HED_261,Malassezia,pachydermatis,Unspecified,"Palo Alto, CA",1,3,fungi,1984,1984,1980,HED_261.shp,TRUE
